"judge_id","judge"
1,"Carrie Ann Inaba"
2,"Len Goodman"
3,"Bruno Tonioli"
4,"Julianne Hough"
5,"Michael Flatley"
6,"Paula Abdul"
7,"Kevin Hart"
8,"Alfonso Ribeiro"
9,"America's Score"
10,"Robin Roberts"
11,"Derek Hough"
12,"Jessie J"
13,"Maksim Chmerkovskiy"
14,"Pitbull"
15,"Donny Osmond"
16,"Olivia Newton-John"
17,"Redfoo"
18,"Ricky Martin"
19,"Abby Lee Miller"
20,"Kenny Ortega"
21,"Cher"
22,"Leah Remini"
23,"Rashad Jennings"
24,"David Ross"
25,"Michael Bublé"
26,"Joey Fatone"
27,"Zendaya"
28,"Nick Carter"
29,"Shania Twain"
30,"Mandy Moore"
31,"Idina Menzel"
32,"Donnie Burns"
33,"Mel B"
34,"Emmitt Smith"
35,"Kelly Osbourne"
36,"Hélio Castroneves"
37,"Gilles Marini"
38,"Drew Lachey"
