"primary_dance_style_id","primary_dance_style"
1,"Tango"
2,"Rumba"
3,"Argentine Tango"
4,"Cha-Cha-Cha"
5,"Waltz"
6,"Quickstep"
7,"Jive"
8,"Samba"
9,"Foxtrot"
10,"Paso Doble"
11,"Freestyle"
12,"Viennese Waltz"
13,"Salsa"
14,"Two-Step"
15,"Charleston"
16,"Bolero"
17,"Lambada"
18,"Mambo"
19,"Lindy Hop"
20,"Jitterbug"
21,"West Coast Swing"
22,"Hustle"
23,"Jazz"
24,"Rock And Roll"
25,"Disco"
26,"Bollywood"
27,"Hip-Hop"
28,"Contemporary"
29,"Swing"
30,"Flamenco"
31,"Burlesque"
32,"Broadway"
33,"Bhangra"
34,"Afro-Jazz"
