"professional_id","professional"
1,"Maksim Chmerkovskiy"
2,"Anna Trebunskaya"
3,"Louis van Amstel"
4,"Edyta Śliwińska"
5,"Derek Hough"
6,"Chelsie Hightower"
7,"Tony Dovolani"
8,"Cheryl Burke"
9,"Damian Whitewood"
10,"Lacey Schwimmer"
11,"Karina Smirnoff"
12,"Corky Ballas"
13,"Mark Ballas"
14,"Andrea Hale"
15,"Ashly DelGrosso"
16,"Jonathan Roberts"
17,"Alec Mazo"
18,"Charlotte Jørgensen"
19,"Nick Kosovich"
20,"Ashly Costa"
21,"Kym Johnson"
22,"Anna Demidova"
23,"Dmitry Chaplin"
24,"Julianne Hough"
25,"Inna Brayer"
26,"Fabian Sanchez"
27,"Elena Grinenko"
28,"Brian Fortuna"
29,"Jesse DeSoto"
30,"Tristan MacManus"
31,"Peta Murgatroyd"
32,"Valentin Chmerkovskiy"
33,"Keo Motsepe"
34,"Emma Slater"
35,"Allison Holker"
36,"Artem Chigvintsev"
37,"Witney Carson"
38,"Lindsay Arnold"
39,"Sharna Burgess"
40,"Henry Byalikov"
41,"Tyne Stecklein"
42,"Sasha Farber"
43,"Gleb Savchenko"
44,"Brandon Armstrong"
45,"Britt Stewart"
46,"Alan Bersten"
47,"Pasha Pashkov"
48,"Koko Iwasaki"
49,"Val Chmerkovskiy"
50,"Daniella Karagach"
51,"Jenna Johnson"
52,"Alexis Warr"
53,"Kym Herjavec"
54,"Louis Van Amstel"
