"couple_id","couple"
1,"Erin & Maks"
2,"Evan & Anna"
3,"Niecy & Louis"
4,"Aiden & Edyta"
5,"Nicole & Derek"
6,"Jake & Chelsie"
7,"Kate & Tony"
8,"Chad & Cheryl"
9,"Pamela & Damian"
10,"Kurt & Anna"
11,"Brandy & Maks"
12,"Rick & Cheryl"
13,"Kyle & Lacey"
14,"The Situation & Karina"
15,"Florence & Corky"
16,"Jennifer & Derek"
17,"Bristol & Mark"
18,"Audrina & Tony"
19,"George & Edyta"
20,"Lisa & Louis"
21,"Kenny & Andrea"
22,"Stacy & Tony"
23,"Joey & Ashly"
24,"Drew & Cheryl"
25,"Tia & Maks"
26,"Master P & Ashly"
27,"Giselle & Jonathan"
28,"Rachel & Jonathan"
29,"Evander & Edyta"
30,"Kelly & Alec"
31,"John & Charlotte"
32,"Jerry & Anna"
33,"Tatum & Nick"
34,"Trista & Louis"
35,"Shannen & Mark"
36,"Buzz & Ashly"
37,"Aaron & Karina"
38,"Chuck & Anna T."
39,"Mark & Lacey"
40,"Ashley & Edyta"
41,"Donny & Kym"
42,"Louie & Chelsie"
43,"Michael & Anna D."
44,"Tom & Cheryl"
45,"Debi & Maks"
46,"Melissa & Mark"
47,"Mýa & Dmitry"
48,"Kathy & Tony"
49,"Natalie & Alec"
50,"Macy & Jonathan"
51,"Joanna & Derek"
52,"Kelly & Louis"
53,"Lil' Kim & Derek"
54,"Belinda & Jonathan"
55,"Lawrence & Edyta"
56,"Steve-O & Lacey"
57,"Gilles & Cheryl"
58,"Chuck & Julianne"
59,"Holly & Dmitry"
60,"Ty & Chelsie"
61,"Shawn & Mark"
62,"Steve & Karina"
63,"David & Kym"
64,"Denise & Maks"
65,"Melissa & Tony"
66,"Cody & Julianne"
67,"Rocco & Karina"
68,"Toni & Alec"
69,"Maurice & Cheryl"
70,"Brooke & Derek"
71,"Ted & Inna"
72,"Lance & Lacey"
73,"Cloris & Corky"
74,"Jeffrey & Edyta"
75,"Kim & Mark"
76,"Susan & Tony"
77,"Misty & Maks"
78,"Penn & Kym"
79,"Warren & Kym"
80,"Jason & Edyta"
81,"Cristián & Cheryl"
82,"Adam & Julianne"
83,"Mario & Karina"
84,"Jennie & Derek"
85,"Steve & Anna"
86,"Shannon & Derek"
87,"Josie & Alec"
88,"Sabrina & Mark"
89,"Marie & Jonathan"
90,"Monica & Jonathan"
91,"Marissa & Tony"
92,"Priscilla & Louis"
93,"Kristi & Mark"
94,"Ian & Cheryl"
95,"Mel & Maks"
96,"Jane & Tony"
97,"Cameron & Edyta"
98,"Marlee & Fabian"
99,"Paulina & Alec"
100,"Billy Ray & Karina"
101,"Floyd & Karina"
102,"Hélio & Julianne"
103,"Albert & Anna"
104,"Mark & Kym"
105,"Joey & Edyta"
106,"Leeza & Tony"
107,"Joey & Kym"
108,"Laila & Maks"
109,"John & Edyta"
110,"Wayne & Cheryl"
111,"Joanna & Maks"
112,"Sara & Tony"
113,"Tucker & Elena"
114,"Monique & Louis"
115,"Emmitt & Cheryl"
116,"Shandi & Brian"
117,"Clyde & Elena"
118,"Heather & Jonathan"
119,"Apolo & Julianne"
120,"Willa & Maks"
121,"Shanna & Jesse"
122,"Harry & Ashly"
123,"Vivica & Nick"
124,"Jerry & Kym"
125,"Shawn & Derek"
126,"Sabrina & Louis"
127,"Hélio & Chelsie"
128,"Pamela & Tristan"
129,"Apolo & Karina"
130,"Gilles & Peta"
131,"Drew & Anna"
132,"Kelly & Val"
133,"Kirstie & Maks"
134,"Mark & Anna T."
135,"Victor & Karina"
136,"Willow & Mark"
137,"Tamar & Val"
138,"Chaka & Keo"
139,"Hayes & Emma"
140,"Robert & Kym"
141,"Riker & Allison"
142,"Charlotte & Keo"
143,"Patti & Artem"
144,"Andy & Allison"
145,"Paula & Louis"
146,"Carlos & Witney"
147,"Alexa & Mark"
148,"Chris & Witney"
149,"Michael & Peta"
150,"Nastia & Derek"
151,"Kim & Tony"
152,"Bindi & Derek"
153,"Gary & Anna"
154,"Alek & Lindsay"
155,"Redfoo & Emma"
156,"Noah & Sharna"
157,"Suzanne & Tony"
158,"Rumer & Val"
159,"Nick & Sharna"
160,"Antonio & Cheryl"
161,"Lea & Artem"
162,"Janel & Val"
163,"Lolo & Keo"
164,"Betsey & Tony"
165,"Tavis & Sharna"
166,"Sadie & Mark"
167,"Michael & Emma"
168,"Cody & Edyta"
169,"Jonathan & Allison"
170,"Tommy & Peta"
171,"Randy & Karina"
172,"Bethany & Derek"
173,"NeNe & Tony"
174,"Alfonso & Witney"
175,"James & Peta"
176,"Danica & Val"
177,"Sean & Karina"
178,"Billy Dee & Emma"
179,"Meryl & Maks"
180,"Candace & Mark"
181,"Cody & Witney"
182,"Amy & Derek"
183,"Brant & Peta"
184,"Diana & Henry"
185,"Charlie & Sharna"
186,"Leah & Tony"
187,"Corbin & Karina"
188,"Jack & Cheryl"
189,"Amber & Derek"
190,"Elizabeth & Val"
191,"Bill N. & Tyne"
192,"Keyshawn & Sharna"
193,"Christina & Mark"
194,"Bill E. & Emma"
195,"Kellie & Derek"
196,"Valerie & Tristan"
197,"Nicole & Sasha"
198,"Victor & Lindsay"
199,"Ingo & Kym"
200,"Lisa & Gleb"
201,"D.L. & Cheryl"
202,"Zendaya & Val"
203,"Sean & Peta"
204,"Alexandra & Mark"
205,"Dorothy & Tristan"
206,"Wynonna & Tony"
207,"Andy & Sharna"
208,"Jordin & Brandon"
209,"Jacoby & Karina"
210,"Sam & Cheryl"
211,"Heidi & Artem"
212,"Daniel & Britt"
213,"Jessie & Alan"
214,"Antonio & Allison"
215,"Candace & Tony"
216,"Teresa & Pasha"
217,"Wayne & Witney"
218,"Cheryl & Louis"
219,"Vinny & Koko"
220,"Bethany & Mark"
221,"Jonathan & Peta"
222,"Alfonso & Cheryl"
223,"James & Cheryl"
224,"Drew & Witney"
225,"Danica & Maks"
226,"Charlie & Peta"
227,"Melanie & Gleb"
228,"Shangela & Gleb"
229,"Trevor & Emma"
230,"Gabby & Val"
231,"Janel & Artem"
232,"Michael & Witney"
233,"Tommy & Emma"
234,"Amy & Mark"
235,"Cody & Sharna"
236,"NeNe & Derek"
237,"The Miz & Witney"
238,"Iman & Daniella"
239,"Olivia & Val"
240,"Jimmie & Emma"
241,"Tamar & Louis"
242,"Joseph & Daniella"
243,"Jason & Peta"
244,"Selma & Sasha"
245,"Sadie & Derek"
246,"Lea & Val"
247,"Meryl & Val"
248,"Melora & Artem"
249,"Suni & Sasha"
250,"Cody & Cheryl"
251,"Amanda & Alan"
252,"Hayes & Allison"
253,"Paula & Mark"
254,"Alek & Emma"
255,"Bindi & Val"
256,"Nastia & Sasha"
257,"Charli & Mark"
258,"Martin & Britt"
259,"Kenya & Brandon"
260,"Christine & Pasha"
261,"Matt & Lindsay"
262,"AJ & Cheryl"
263,"Carlos & Lindsay"
264,"Alexa & Derek"
265,"Brian & Sharna"
266,"JoJo & Jenna"
267,"Chrishell & Gleb"
268,"Vernon & Peta"
269,"Anne & Keo"
270,"Nick & Witney"
271,"Hannah & Alan"
272,"Jeannie & Brandon"
273,"Jesse & Sharna"
274,"Skai & Alan"
275,"Joseph & Alexis"
276,"Kel & Witney"
277,"Kate & Pasha"
278,"Lamar & Peta"
279,"Lauren & Gleb"
280,"Kaitlyn & Artem"
281,"Nev & Jenna"
282,"Johnny & Britt"
283,"Sailor & Val"
284,"Karamo & Jenna"
285,"Ray & Cheryl"
286,"Mary & Brandon"
287,"Justina & Sasha"
288,"Charles & Emma"
289,"Monica & Val"
290,"Nelly & Daniella"
291,"Ally & Sasha"
292,"Sean & Lindsay"
293,"James & Emma"
294,"Carole & Pasha"
295,"Mary Lou & Sasha"
296,"Milo & Witney"
297,"Evanna & Keo"
298,"Danelle & Artem"
299,"Bobby & Sharna"
300,"Juan Pablo & Cheryl"
301,"Nikki & Gleb"
302,"Alexis & Alan"
303,"John & Emma"
304,"Tinashe & Brandon"
305,"Nancy & Val"
306,"Joe & Jenna"
307,"DeMarcus & Lindsay"
308,"Kareem & Lindsay"
309,"Jennie & Keo"
310,"Jamie & Artem"
311,"Mirai & Alan"
312,"Terrell & Cheryl"
313,"Arike & Gleb"
314,"Adam & Jenna"
315,"Johnny & Emma"
316,"Tonya & Sasha"
317,"Debbie & Alan"
318,"Sasha & Gleb"
319,"Drew & Emma"
320,"Barbara & Keo"
321,"Josh & Sharna"
322,"Jordan & Lindsay"
323,"Nick & Peta"
324,"Normani & Val"
325,"Vanessa & Maks"
326,"Frankie & Witney"
327,"Nikki & Artem"
328,"Derek & Sharna"
329,"Nancy & Artem"
330,"Bonner & Sharna"
331,"Charo & Keo"
332,"Victoria & Val"
333,"Lindsey & Mark"
334,"Marilu & Derek"
335,"Heather & Maks"
336,"David & Lindsay"
337,"James & Sharna"
338,"Calvin & Lindsay"
339,"Maureen & Artem"
340,"Babyface & Allison"
341,"Erika & Gleb"
342,"Rashad & Emma"
343,"Amber & Maks"
344,"Vanilla Ice & Witney"
345,"Jana & Gleb"
346,"Jake & Jenna"
347,"Mr. T & Kym"
348,"Simone & Sasha"
349,"Rick & Emma"
350,"Terra & Sasha"
351,"Ryan & Cheryl"
352,"Laurie & Val"
353,"Heather & Alan"
354,"Kim & Sasha"
355,"Paige & Mark"
356,"Doug & Karina"
357,"Jodie & Keo"
358,"Geraldo & Edyta"
359,"Sean & Jenna"
360,"Maria & Derek"
361,"Marla & Tony"
362,"Wanyá & Lindsay"
363,"Ginger & Val"
364,"Mischa & Artem"
365,"Jack & Anna"
366,"Donald & Peta"
367,"Gavin & Karina"
368,"Roshon & Chelsie"
369,"Nyle & Peta"
370,"Antonio & Sharna"
371,"Von & Witney"
372,"Metta & Peta"
373,"Sherri & Val"
374,"Melissa & Maks"
375,"William & Cheryl"
376,"Paige & Alan"
377,"Rob & Cheryl"
378,"Kristin & Mark"
379,"Chynna & Tony"
380,"Nancy & Tristan"
381,"Martina & Tony"
382,"Katherine & Mark"
383,"Gladys & Tristan"
384,"Jaleel & Kym"
385,"Vanessa & Alan"
386,"Elisabetta & Val"
387,"Hope & Maks"
388,"Carson & Anna"
389,"J.R. & Karina"
390,"Ricki & Derek"
391,"Chaz & Lacey"
392,"Chelsea & Mark"
393,"Wendy & Tony"
394,"Hines & Kym"
395,"Petra & Dmitry"
396,"Romeo & Chelsie"
397,"Sugar Ray & Anna"
398,"Kendra & Louis"
399,"Ralph & Karina"
400,"Chris & Cheryl"
401,"Mike & Lacey"
402,"Margaret & Louis"
403,"Michael & Chelsie"
404,"Wanyá & Witney"
405,"Kim & Keo"
406,"Doug & Peta"
407,"Ginger & Mark"
408,"Antonio & Karina"
409,"Paige & Sasha"
410,"Von & Lindsay"
411,"Nyle & Sharna"
412,"Jodie & Val"
413,"James & Jenna"
